Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
26-Oct-2017,202.05,212,231.45,201.1,218,213.6,213.21,124669249,26580974703.1,530017,10942333,8.78
27-Oct-2017,213.6,214,214,195.25,197.3,196.65,202.24,39213574,7930594969.45,185993,4697019,11.98
30-Oct-2017,196.65,196.8,213,194.75,203.2,203.95,205.59,46136900,9485506632.9,219912,5565348,12.06
31-Oct-2017,203.95,203.95,206.9,196.6,197.5,197.15,200.08,27023668,5406962052.1,131164,3693136,13.67
01-Nov-2017,197.15,202,206.3,198.25,199.05,198.9,201.6,28141909,5673452286.8,141284,7550245,26.83
02-Nov-2017,198.9,199.05,203.5,196.05,197.55,197.45,199.16,20686765,4119909147.7,96785,4089733,19.77
03-Nov-2017,197.45,199.25,212,199.1,207.3,207.8,205.11,96398855,19772829282.25,415429,8992220,9.33
06-Nov-2017,207.8,206.8,207.6,199.7,201.9,201.2,203.97,21545767,4394627840,104792,4790795,22.24
07-Nov-2017,201.2,204.8,204.8,188.65,191.25,190.8,194.91,27782722,5415228847.9,142432,4790672,17.24
08-Nov-2017,190.8,192.85,194.85,186.05,191.4,189.05,190.51,22869578,4356887977.6,105533,3066176,13.41
09-Nov-2017,189.05,191.4,196.55,190.5,192.75,192.3,192.73,21212153,4088151897.4,96368,3453410,16.28
10-Nov-2017,192.3,190,196,187,190,190.1,191.64,26367774,5053183086.9,130755,4053656,15.37
13-Nov-2017,190.1,192,192.45,186.5,187,187.65,189.93,13730302,2607821504.25,67646,2630797,19.16
14-Nov-2017,187.65,188.3,189.95,183.2,184.4,184.05,186.33,14459551,2694318620.75,64349,2799331,19.36
15-Nov-2017,184.05,184.9,187.1,179.15,181.5,180.7,183.15,15478328,2834816724.5,69248,2387616,15.43
16-Nov-2017,180.7,182.4,191.05,180.1,190.1,189.6,186.37,22146185,4127406056.7,104752,3194215,14.42
17-Nov-2017,189.6,198,200.9,189.8,190.7,190.8,195.21,28196846,5504318926.3,119814,4254216,15.09
20-Nov-2017,190.8,190.7,190.7,186.5,186.85,187.25,188.22,13291834,2501852585.1,51217,3138947,23.62
21-Nov-2017,187.25,188.95,191.7,185.3,186,186.3,188.39,13806005,2600897755.55,56938,1994964,14.45
22-Nov-2017,186.3,187,192.95,183.5,188.8,189.2,188.68,23941016,4517211162.05,117836,3075572,12.85
23-Nov-2017,189.2,189.3,189.6,184.95,186.5,186.5,187.06,14256077,2666704700.15,60880,2069311,14.52
24-Nov-2017,186.5,187,189.2,185.05,185.95,186.1,187.07,11782239,2204079809.9,47651,2330427,19.78
27-Nov-2017,186.1,184.95,186.65,182.85,185.2,185.85,184.91,10556535,1952047692.5,41208,1892143,17.92
28-Nov-2017,185.85,186.7,187.85,182.8,183,183.7,185.79,13720114,2549118691.2,51303,2012049,14.66
29-Nov-2017,183.7,184.1,184.7,180.5,181.35,181.6,182.85,9800911,1792107393.6,37943,2087025,21.29
30-Nov-2017,181.6,180.9,180.9,175.35,176.85,176.1,177.99,17254860,3071193397.65,58439,4421454,25.62
01-Dec-2017,176.1,177.1,178,170.1,170.3,171.5,175.02,13167162,2304467391.6,56914,2011155,15.27
04-Dec-2017,171.5,171.9,174.35,169.5,174.35,173.2,171.89,12795662,2199478122.35,51153,1574344,12.3
05-Dec-2017,173.2,172.4,177.8,170.65,176.15,175.95,174.25,17498518,3049113011.2,72040,2606801,14.9
06-Dec-2017,175.95,175.4,175.8,170.95,171.4,172.1,173.76,12381441,2151458031.25,62519,1849411,14.94
07-Dec-2017,172.1,172.1,175.8,172.05,173.75,173.9,174.13,11340699,1974770839.05,43984,1886537,16.64
08-Dec-2017,173.9,174.35,175.3,172,172.5,172.7,173.28,8766071,1518963726.25,32946,1064991,12.15
11-Dec-2017,172.7,174.05,175.3,171.85,172.45,172.95,173.65,7926307,1376388514.1,30049,1158751,14.62
12-Dec-2017,172.95,172.9,176.25,170.3,173.25,173.7,173.88,16854655,2930762143.6,54422,3208099,19.03
13-Dec-2017,173.7,173,173.7,166.45,167.55,167.8,170.5,11545396,1968443896,41534,1354898,11.74
14-Dec-2017,167.8,169,170.65,166.15,169.4,169.6,168.43,12678906,2135480360.85,49678,1252261,9.88
15-Dec-2017,169.6,172.1,173.95,170.75,171.9,171.6,172.06,8768732,1508723208.5,40774,1504714,17.16
18-Dec-2017,171.6,168,180.6,161.85,179.9,178.75,175.67,27671940,4861255268.85,108770,3367532,12.17
19-Dec-2017,178.75,180.85,181,176.35,178.65,178.75,178.87,13603472,2433234854,60439,2263855,16.64
20-Dec-2017,178.75,171.9,172.8,169.4,170.55,170.5,170.92,63640511,10877210731.85,182756,33358997,52.42
21-Dec-2017,170.5,171,174.9,170.5,173.15,173.5,172.95,18059283,3123435646.35,74660,6087753,33.71
22-Dec-2017,173.5,173.9,177.15,172.15,175.7,175.95,175.19,22577624,3955459550.95,70337,5996166,26.56
26-Dec-2017,175.95,175.9,175.9,172.55,174.2,174.3,174.13,9993708,1740158641.15,44496,2567892,25.7
27-Dec-2017,174.3,174.2,177.7,172.7,173,174.1,175.22,14740959,2582954206.45,55758,4521155,30.67
28-Dec-2017,174.1,173.25,174.5,170,170.25,170.8,171.37,18945479,3246686025.5,53890,8648072,45.65
29-Dec-2017,170.8,171.8,173.65,170.65,171.55,171.4,172,9789074,1683721287,46985,2654665,27.12
01-Jan-2018,171.4,172.95,173.4,168.9,169.7,169.75,171.31,7869149,1348032197,35893,1423821,18.09
02-Jan-2018,169.75,170.5,170.9,165.4,166.15,166.4,167.26,13729132,2296383278.05,54266,3567217,25.98
03-Jan-2018,166.4,168,169.3,166.2,166.5,166.6,167.66,8534233,1430884733.85,36317,1413490,16.56
04-Jan-2018,166.6,167.35,179.7,165.4,178,176.45,172.88,31613344,5465302501.7,121680,9106491,28.81
05-Jan-2018,176.45,180.4,180.5,175.4,176.05,176,177.47,15500426,2750899295.7,64260,2886355,18.62
08-Jan-2018,176,177.05,178.15,175.1,175.65,175.7,176.41,7302294,1288170169.05,37673,2078930,28.47
09-Jan-2018,175.7,175.3,177.9,174.05,174.55,174.65,176.09,11152776,1963904063.4,42093,1919693,17.21
10-Jan-2018,174.65,174.45,174.9,170,170.1,170.65,171.9,9021131,1550728455.35,44835,2239225,24.82
11-Jan-2018,170.65,170.3,173.6,169.55,173.3,172.75,171.84,8683986,1492224624.4,35136,2854421,32.87
